Strategy,Stock,Time Period,Market Regime,Start,End,Return %,B&H Return %,SPY Return %,Alpha vs B&H %,Alpha vs SPY %,Sharpe,Sortino,Max Drawdown %,Win Rate %,Outperformance vs B&H %,Outperformance vs SPY %,Trades,Exposure %,Sample Size
Pullback Mean Reversion,AAPL,Full History,Bull,2022-08-17,2026-08-26,5.221174,124.462221,68.772927,-119.241047,-63.551753,0.326673,0.138687,-8.173571,60.000000,45.347468,43.934040,5,100.000000,849
Pullback Mean Reversion,AAPL,Full History,Bear,2022-06-14,2026-04-08,0.000000,8.106572,28.245063,-8.106572,-28.245063,0.000000,0.000000,0.000000,,44.878049,49.756098,0,100.000000,205
Pullback Mean Reversion,AAPL,Recent OOS,Bull,2025-05-22,2026-08-26,-2.898320,49.286156,27.873695,-52.184476,-30.772015,-0.472300,-0.158287,-6.409439,50.000000,45.901639,44.590164,2,100.000000,305
Pullback Mean Reversion,AAPL,Recent OOS,Bear,2026-03-23,2026-04-08,0.000000,4.399364,4.230849,-4.399364,-4.230849,0.000000,0.000000,0.000000,,25.000000,33.333333,0,100.000000,12
Short-Term Momentum,AAPL,Full History,Bull,2022-08-17,2026-08-26,8.449363,124.462221,68.772927,-116.012858,-60.323564,0.228036,0.215809,-25.260996,46.666667,36.160188,47.349823,45,100.000000,849
Short-Term Momentum,AAPL,Full History,Bear,2022-06-14,2026-04-08,-13.209802,8.106572,28.245063,-21.316374,-41.454865,-1.863518,-0.927029,-13.725460,,40.487805,46.829268,0,100.000000,205
Short-Term Momentum,AAPL,Recent OOS,Bull,2025-05-22,2026-08-26,3.287085,49.286156,27.873695,-45.999071,-24.586610,0.240538,0.226514,-12.230694,33.333333,35.409836,46.885246,15,100.000000,305
Short-Term Momentum,AAPL,Recent OOS,Bear,2026-03-23,2026-04-08,0.000000,4.399364,4.230849,-4.399364,-4.230849,0.000000,0.000000,0.000000,,25.000000,33.333333,0,100.000000,12
Pullback Mean Reversion,MSFT,Full History,Bull,2022-08-17,2026-08-26,10.817984,61.039455,68.772927,-50.221471,-57.954943,1.090151,0.245002,-2.902379,100.000000,47.114252,44.876325,2,100.000000,849
Pullback Mean Reversion,MSFT,Full History,Bear,2022-06-14,2026-04-08,0.000000,31.747530,28.245063,-31.747530,-28.245063,0.000000,0.000000,0.000000,,49.756098,49.756098,0,100.000000,205
Pullback Mean Reversion,MSFT,Recent OOS,Bull,2025-05-22,2026-08-26,2.659977,12.993285,27.873695,-10.333308,-25.213719,0.598442,0.167656,-2.902379,100.000000,47.213115,46.229508,1,100.000000,305
Pullback Mean Reversion,MSFT,Recent OOS,Bear,2026-03-23,2026-04-08,0.000000,-1.974498,4.230849,1.974498,-4.230849,0.000000,0.000000,0.000000,,58.333333,33.333333,0,100.000000,12
Short-Term Momentum,MSFT,Full History,Bull,2022-08-17,2026-08-26,7.162041,61.039455,68.772927,-53.877414,-61.610886,0.217298,0.199659,-23.293458,38.888889,38.398115,45.347468,36,100.000000,849
Short-Term Momentum,MSFT,Full History,Bear,2022-06-14,2026-04-08,1.585106,31.747530,28.245063,-30.162424,-26.659957,0.375586,0.000000,-3.751430,,49.756098,50.243902,0,100.000000,205
Short-Term Momentum,MSFT,Recent OOS,Bull,2025-05-22,2026-08-26,16.068043,12.993285,27.873695,3.074758,-11.805653,1.116912,1.010256,-9.248692,50.000000,42.622951,47.213115,8,100.000000,305
Short-Term Momentum,MSFT,Recent OOS,Bear,2026-03-23,2026-04-08,0.000000,-1.974498,4.230849,1.974498,-4.230849,0.000000,0.000000,0.000000,,58.333333,33.333333,0,100.000000,12
Pullback Mean Reversion,NVDA,Full History,Bull,2022-08-17,2026-08-26,0.000000,723.644330,68.772927,-723.644330,-68.772927,0.000000,0.000000,0.000000,,45.936396,43.934040,0,100.000000,849
Pullback Mean Reversion,NVDA,Full History,Bear,2022-06-14,2026-04-08,0.000000,63.135630,28.245063,-63.135630,-28.245063,0.000000,0.000000,0.000000,,45.853659,49.756098,0,100.000000,205
Pullback Mean Reversion,NVDA,Recent OOS,Bull,2025-05-22,2026-08-26,0.000000,51.090942,27.873695,-51.090942,-27.873695,0.000000,0.000000,0.000000,,47.868852,45.245902,0,100.000000,305
Pullback Mean Reversion,NVDA,Recent OOS,Bear,2026-03-23,2026-04-08,0.000000,5.431392,4.230849,-5.431392,-4.230849,0.000000,0.000000,0.000000,,33.333333,33.333333,0,100.000000,12
Short-Term Momentum,NVDA,Full History,Bull,2022-08-17,2026-08-26,168.054844,723.644330,68.772927,-555.589487,99.281917,0.966803,1.321712,-38.355152,45.454545,33.804476,51.236749,55,100.000000,849
Short-Term Momentum,NVDA,Full History,Bear,2022-06-14,2026-04-08,-4.304610,63.135630,28.245063,-67.440240,-32.549673,-0.261303,-0.141526,-17.173096,,45.365854,48.780488,0,100.000000,205
Short-Term Momentum,NVDA,Recent OOS,Bull,2025-05-22,2026-08-26,21.296786,51.090942,27.873695,-29.794155,-6.576909,0.711994,0.898432,-28.051422,45.000000,35.081967,50.163934,20,100.000000,305
Short-Term Momentum,NVDA,Recent OOS,Bear,2026-03-23,2026-04-08,0.000000,5.431392,4.230849,-5.431392,-4.230849,0.000000,0.000000,0.000000,,33.333333,33.333333,0,100.000000,12
Pullback Mean Reversion,AMZN,Full History,Bull,2022-08-17,2026-08-26,-6.902215,71.767495,68.772927,-78.669710,-75.675142,-0.605448,-0.100040,-8.356890,0.000000,47.703180,43.934040,1,100.000000,849
Pullback Mean Reversion,AMZN,Full History,Bear,2022-06-14,2026-04-08,1.323118,46.166121,28.245063,-44.843003,-26.921944,0.447684,0.000000,-2.513952,,47.317073,49.756098,0,100.000000,205
Pullback Mean Reversion,AMZN,Recent OOS,Bull,2025-05-22,2026-08-26,0.000000,20.126621,27.873695,-20.126621,-27.873695,0.000000,0.000000,0.000000,,47.868852,45.245902,0,100.000000,305
Pullback Mean Reversion,AMZN,Recent OOS,Bear,2026-03-23,2026-04-08,0.000000,7.732388,4.230849,-7.732388,-4.230849,0.000000,0.000000,0.000000,,33.333333,33.333333,0,100.000000,12
Short-Term Momentum,AMZN,Full History,Bull,2022-08-17,2026-08-26,1.546230,71.767495,68.772927,-70.221265,-67.226697,0.125279,0.150579,-19.429351,43.478261,34.393404,44.522968,46,100.000000,849
Short-Term Momentum,AMZN,Full History,Bear,2022-06-14,2026-04-08,-0.775094,46.166121,28.245063,-46.941216,-29.020157,-1.111438,0.000000,-0.775094,,47.804878,49.756098,0,100.000000,205
Short-Term Momentum,AMZN,Recent OOS,Bull,2025-05-22,2026-08-26,1.735220,20.126621,27.873695,-18.391400,-26.138475,0.173183,0.191301,-16.786022,33.333333,35.409836,46.229508,15,100.000000,305
Short-Term Momentum,AMZN,Recent OOS,Bear,2026-03-23,2026-04-08,0.000000,7.732388,4.230849,-7.732388,-4.230849,0.000000,0.000000,0.000000,,33.333333,33.333333,0,100.000000,12
Pullback Mean Reversion,GOOGL,Full History,Bull,2022-08-17,2026-08-26,4.437387,202.451410,68.772927,-198.014022,-64.335539,0.547142,0.100066,-2.308724,100.000000,45.465253,44.287397,1,100.000000,849
Pullback Mean Reversion,GOOGL,Full History,Bear,2022-06-14,2026-04-08,8.851404,7.224371,28.245063,1.627034,-19.393658,1.482691,1.762336,-1.511030,100.000000,51.219512,51.707317,1,100.000000,205
Pullback Mean Reversion,GOOGL,Recent OOS,Bull,2025-05-22,2026-08-26,0.000000,93.242776,27.873695,-93.242776,-27.873695,0.000000,0.000000,0.000000,,47.868852,45.245902,0,100.000000,305
Pullback Mean Reversion,GOOGL,Recent OOS,Bear,2026-03-23,2026-04-08,8.851404,5.421932,4.230849,3.429472,4.620555,6.609448,30.106577,-1.511030,100.000000,33.333333,66.666667,1,100.000000,12
Short-Term Momentum,GOOGL,Full History,Bull,2022-08-17,2026-08-26,87.674001,202.451410,68.772927,-114.777408,18.901075,0.962540,1.132364,-22.978601,43.478261,34.746761,49.352179,46,100.000000,849
Short-Term Momentum,GOOGL,Full History,Bear,2022-06-14,2026-04-08,-4.614451,7.224371,28.245063,-11.838822,-32.859514,-1.156808,-0.389819,-5.447846,,51.707317,49.268293,0,100.000000,205
Short-Term Momentum,GOOGL,Recent OOS,Bull,2025-05-22,2026-08-26,66.262207,93.242776,27.873695,-26.980569,38.388512,1.899532,3.012114,-12.123446,47.058824,35.409836,51.803279,17,100.000000,305
Short-Term Momentum,GOOGL,Recent OOS,Bear,2026-03-23,2026-04-08,-2.657811,5.421932,4.230849,-8.079743,-6.888660,-3.078776,0.000000,-3.846919,,41.666667,33.333333,0,100.000000,12
Pullback Mean Reversion,META,Full History,Bull,2022-08-17,2026-08-26,10.349349,227.159115,68.772927,-216.809766,-58.423578,1.185256,0.000000,-0.353666,100.000000,47.703180,44.640754,1,100.000000,849
Pullback Mean Reversion,META,Full History,Bear,2022-06-14,2026-04-08,0.000000,8.151967,28.245063,-8.151967,-28.245063,0.000000,0.000000,0.000000,,48.292683,49.756098,0,100.000000,205
Pullback Mean Reversion,META,Recent OOS,Bull,2025-05-22,2026-08-26,0.000000,-11.761926,27.873695,11.761926,-27.873695,0.000000,0.000000,0.000000,,50.163934,45.245902,0,100.000000,305
Pullback Mean Reversion,META,Recent OOS,Bear,2026-03-23,2026-04-08,0.000000,3.160056,4.230849,-3.160056,-4.230849,0.000000,0.000000,0.000000,,41.666667,33.333333,0,100.000000,12
Short-Term Momentum,META,Full History,Bull,2022-08-17,2026-08-26,9.128692,227.159115,68.772927,-218.030423,-59.644235,0.225367,0.294387,-43.492841,40.476190,33.333333,45.936396,42,100.000000,849
Short-Term Momentum,META,Full History,Bear,2022-06-14,2026-04-08,1.730872,8.151967,28.245063,-6.421095,-26.514190,0.372656,0.000000,-3.732513,,47.804878,49.756098,0,100.000000,205
Short-Term Momentum,META,Recent OOS,Bull,2025-05-22,2026-08-26,-33.070781,-11.761926,27.873695,-21.308855,-60.944476,-1.714052,-1.395801,-43.492841,18.181818,37.049180,42.622951,11,100.000000,305
Short-Term Momentum,META,Recent OOS,Bear,2026-03-23,2026-04-08,0.000000,3.160056,4.230849,-3.160056,-4.230849,0.000000,0.000000,0.000000,,41.666667,33.333333,0,100.000000,12
Pullback Mean Reversion,AVGO,Full History,Bull,2022-08-17,2026-08-26,0.000000,302.309455,68.772927,-302.309455,-68.772927,0.000000,0.000000,0.000000,,47.585395,43.934040,0,100.000000,849
Pullback Mean Reversion,AVGO,Full History,Bear,2022-06-14,2026-04-08,0.000000,83.775159,28.245063,-83.775159,-28.245063,0.000000,0.000000,0.000000,,45.853659,49.756098,0,100.000000,205
Pullback Mean Reversion,AVGO,Recent OOS,Bull,2025-05-22,2026-08-26,0.000000,38.114675,27.873695,-38.114675,-27.873695,0.000000,0.000000,0.000000,,46.885246,45.245902,0,100.000000,305
Pullback Mean Reversion,AVGO,Recent OOS,Bear,2026-03-23,2026-04-08,0.000000,13.157551,4.230849,-13.157551,-4.230849,0.000000,0.000000,0.000000,,41.666667,33.333333,0,100.000000,12
Short-Term Momentum,AVGO,Full History,Bull,2022-08-17,2026-08-26,-18.061721,302.309455,68.772927,-320.371176,-86.834648,0.017191,0.020556,-45.318632,35.483871,31.448763,45.818610,62,100.000000,849
Short-Term Momentum,AVGO,Full History,Bear,2022-06-14,2026-04-08,8.611687,83.775159,28.245063,-75.163471,-19.633376,1.050704,0.805887,-5.145812,,43.414634,49.756098,0,100.000000,205
Short-Term Momentum,AVGO,Recent OOS,Bull,2025-05-22,2026-08-26,-11.552161,38.114675,27.873695,-49.666836,-39.425856,-0.103868,-0.118598,-38.862172,28.571429,32.131148,47.540984,21,100.000000,305
Short-Term Momentum,AVGO,Recent OOS,Bear,2026-03-23,2026-04-08,0.000000,13.157551,4.230849,-13.157551,-4.230849,0.000000,0.000000,0.000000,,41.666667,33.333333,0,100.000000,12
Pullback Mean Reversion,JPM,Full History,Bull,2022-08-17,2026-08-26,0.353205,114.766009,68.772927,-114.412804,-68.419722,0.545133,0.000000,0.000000,,43.816254,44.051826,0,100.000000,849
Pullback Mean Reversion,JPM,Full History,Bear,2022-06-14,2026-04-08,6.877389,59.071693,28.245063,-52.194304,-21.367673,1.489037,1.043286,-2.976225,100.000000,44.390244,51.219512,1,100.000000,205
Pullback Mean Reversion,JPM,Recent OOS,Bull,2025-05-22,2026-08-26,0.000000,29.467229,27.873695,-29.467229,-27.873695,0.000000,0.000000,0.000000,,44.262295,45.245902,0,100.000000,305
Pullback Mean Reversion,JPM,Recent OOS,Bear,2026-03-23,2026-04-08,0.000000,8.021383,4.230849,-8.021383,-4.230849,0.000000,0.000000,0.000000,,25.000000,33.333333,0,100.000000,12
Short-Term Momentum,JPM,Full History,Bull,2022-08-17,2026-08-26,15.896874,114.766009,68.772927,-98.869136,-52.876053,0.348671,0.361337,-16.831400,41.666667,31.802120,48.056537,48,100.000000,849
Short-Term Momentum,JPM,Full History,Bear,2022-06-14,2026-04-08,-1.091021,59.071693,28.245063,-60.162714,-29.336083,-0.891484,0.000000,-1.332644,,43.902439,49.268293,0,100.000000,205
Short-Term Momentum,JPM,Recent OOS,Bull,2025-05-22,2026-08-26,10.674636,29.467229,27.873695,-18.792593,-17.199059,0.626476,0.626193,-16.831400,47.058824,30.819672,48.852459,17,100.000000,305
Short-Term Momentum,JPM,Recent OOS,Bear,2026-03-23,2026-04-08,0.000000,8.021383,4.230849,-8.021383,-4.230849,0.000000,0.000000,0.000000,,25.000000,33.333333,0,100.000000,12
Pullback Mean Reversion,V,Full History,Bull,2022-08-17,2026-08-26,2.856949,55.197647,68.772927,-52.340697,-65.915977,0.607380,0.178113,-1.230243,100.000000,45.465253,44.169611,1,100.000000,849
Pullback Mean Reversion,V,Full History,Bear,2022-06-14,2026-04-08,9.277742,32.922385,28.245063,-23.644643,-18.967321,1.104664,0.733378,-2.352381,100.000000,44.878049,50.243902,1,100.000000,205
Pullback Mean Reversion,V,Recent OOS,Bull,2025-05-22,2026-08-26,0.000000,5.621472,27.873695,-5.621472,-27.873695,0.000000,0.000000,0.000000,,50.819672,45.245902,0,100.000000,305
Pullback Mean Reversion,V,Recent OOS,Bear,2026-03-23,2026-04-08,0.000000,2.433521,4.230849,-2.433521,-4.230849,0.000000,0.000000,0.000000,,33.333333,33.333333,0,100.000000,12
Short-Term Momentum,V,Full History,Bull,2022-08-17,2026-08-26,2.464986,55.197647,68.772927,-52.732661,-66.307941,0.121012,0.106330,-19.594097,41.666667,37.926973,44.994111,48,100.000000,849
Short-Term Momentum,V,Full History,Bear,2022-06-14,2026-04-08,1.421371,32.922385,28.245063,-31.501013,-26.823691,0.241992,0.158227,-4.678195,,40.975610,50.731707,0,100.000000,205
Short-Term Momentum,V,Recent OOS,Bull,2025-05-22,2026-08-26,-3.973690,5.621472,27.873695,-9.595162,-31.847385,-0.264192,-0.213305,-16.985901,38.461538,42.622951,42.295082,13,100.000000,305
Short-Term Momentum,V,Recent OOS,Bear,2026-03-23,2026-04-08,0.000000,2.433521,4.230849,-2.433521,-4.230849,0.000000,0.000000,0.000000,,33.333333,33.333333,0,100.000000,12
Pullback Mean Reversion,WMT,Full History,Bull,2022-08-17,2026-08-26,1.342470,79.772136,68.772927,-78.429666,-67.430457,0.147800,0.027735,-4.167478,100.000000,45.700824,44.051826,1,100.000000,849
Pullback Mean Reversion,WMT,Full History,Bear,2022-06-14,2026-04-08,2.455938,53.452302,28.245063,-50.996364,-25.789124,0.676059,0.299726,-2.138125,0.000000,39.512195,49.268293,1,100.000000,205
Pullback Mean Reversion,WMT,Recent OOS,Bull,2025-05-22,2026-08-26,4.054139,2.287150,27.873695,1.766988,-23.819557,0.831850,0.420484,-1.603241,100.000000,49.508197,45.573770,1,100.000000,305
Pullback Mean Reversion,WMT,Recent OOS,Bear,2026-03-23,2026-04-08,0.000000,6.923216,4.230849,-6.923216,-4.230849,0.000000,0.000000,0.000000,,16.666667,33.333333,0,100.000000,12
Short-Term Momentum,WMT,Full History,Bull,2022-08-17,2026-08-26,1.405075,79.772136,68.772927,-78.367061,-67.367852,0.099141,0.090869,-21.385154,38.297872,35.689046,47.585395,47,100.000000,849
Short-Term Momentum,WMT,Full History,Bear,2022-06-14,2026-04-08,1.221094,53.452302,28.245063,-52.231208,-27.023968,0.697865,0.448187,-1.050513,,38.536585,49.756098,0,100.000000,205
Short-Term Momentum,WMT,Recent OOS,Bull,2025-05-22,2026-08-26,2.256194,2.287150,27.873695,-0.030957,-25.617502,0.201558,0.191302,-14.329736,25.000000,44.262295,46.557377,12,100.000000,305
Short-Term Momentum,WMT,Recent OOS,Bear,2026-03-23,2026-04-08,0.000000,6.923216,4.230849,-6.923216,-4.230849,0.000000,0.000000,0.000000,,16.666667,33.333333,0,100.000000,12
